PROTID	GENEID	PROTLEN	AP_GFP_C_1_S2-A2_1_6530_SPC	AP_GFP_C_2_S2-A3_1_6531_SPC	AP_GFP_C_3_S2-A4_1_6532_SPC	AP_GFP_MED_NLS_1_S2-B2_1_6542_SPC	AP_GFP_MED_NLS_2_S2-B3_1_6543_SPC	AP_GFP_MED_NLS_3_S2-B4_1_6544_SPC	AP_GFP_MYC_NLS_1_S2-B6_1_6546_SPC	AP_GFP_MYC_NLS_2_S2-B7_1_6547_SPC	AP_GFP_MYC_NLS_3_S2-B8_1_6548_SPC	AP_GFP_NLS1_1_S2-A10_1_6538_SPC	AP_GFP_NLS1_2_S2-A11_1_6539_SPC	AP_GFP_NLS1_3_S2-A12_1_6540_SPC	AP_GFP_N_1_S2-A6_1_6534_SPC	AP_GFP_N_2_S2-A7_1_6535_SPC	AP_GFP_N_3_S2-A8_1_6536_SPC	AP_gfp-nls_1_S2-A7_1_4617_SPC	AP_gfp-nls_1_S2-A8_1_4618_SPC	GFP1a_Rita_AP_S1-A1_1_1425_SPC	GFP1b_Rita_AP_S1-A2_1_1426_SPC	GFP_AP1_S3-B5_1_1170_SPC	GFP_AP2_S3-B6_1_1171_SPC	GFP_AP3_S3-B7_1_1172_SPC	GFP_AP_1_S1-A8_1_4038_SPC	GFP_AP_2_S1-A9_1_4039_SPC	GFP_C_1_AP_S1-A5_1_6779_SPC	GFP_C_2_AP_S1-A6_1_6780_SPC	GFP_C_AP_1_S2-B2_1_4529_SPC	GFP_C_AP_2_S2-B3_1_4530_SPC	GFP_C_AP_3_S2-B4_1_4531_SPC	GFP_N_1_AP_S1-A8_1_6782_SPC	GFP_N_2_AP_S1-A9_1_6783_SPC	MAC2_C_GFP1_S3-A1_1_3574_SPC	MAC2_C_GFP2_S3-A2_1_3575_SPC	MAC2_C_GFP3_S3-A3_1_3576_SPC	MAC2_C_GFP4_S3-A4_1_3577_SPC	MAC2_C_GFP5_S3-A5_1_3578_SPC	MAC2_C_GFP6_S3-A6_1_3579_SPC	MAC2_C_GFP7_S3-A7_1_3580_SPC	MAC2_C_GFP8_S3-A8_1_3581_SPC	MAC2_N_GFP1_S3-B1_1_3583_SPC	MAC2_N_GFP2_S3-B2_1_3584_SPC	MAC2_N_GFP3_S3-B3_1_3585_SPC	MAC2_N_GFP4_S3-B4_1_3586_SPC	MAC2_N_GFP5_S3-B5_1_3587_SPC	MAC2_N_GFP6_S3-B6_1_3588_SPC	MAC2_N_GFP7_S3-B7_1_3589_SPC	MAC2_N_GFP8_S3-B8_1_3590_SPC	MAC_C_GFP1_S3-A1_1_3646_SPC	MAC_C_GFP2_S3-A2_1_3647_SPC	MAC_C_GFP3_S3-A3_1_3648_SPC	MAC_C_GFP4_S3-A4_1_3649_SPC	MAC_C_GFP5_S3-A5_1_3650_SPC	MAC_C_GFP6_S3-A6_1_3651_SPC	MAC_C_GFP7_S3-A7_1_3652_SPC	MAC_C_GFP8_S3-A8_1_3653_SPC	MAC_N_GFP1_S3-C1_1_3664_SPC	MAC_N_GFP2_S3-C2_1_3665_SPC	MAC_N_GFP3_S3-C3_1_3666_SPC	MAC_N_GFP4_S3-C4_1_3667_SPC	MAC_N_GFP5_S3-C5_1_3668_SPC	MAC_N_GFP6_S3-C6_1_3669_SPC	MAC_N_GFP7_S3-C7_1_3670_SPC	MAC_N_GFP8_S3-C8_1_3671_SPC	MED_1_AP_S1-A11_1_6785_SPC	MED_2_AP_S1-A12_1_6786_SPC	MYC_1_AP_S1-B2_1_6788_SPC	MYC_2_AP_S1-B3_1_6789_SPC	NLS1_1_AP_S1-A2_1_6776_SPC	NLS1_2_AP_S1-A3_1_6777_SPC	SUC_N_GFP1_S3-D1_1_3601_SPC	SUC_N_GFP2_S3-D2_1_3602_SPC	SUC_N_GFP3_S3-D3_1_3603_SPC	SUC_N_GFP4_S3-D4_1_3604_SPC	SUC_N_GFP5_S3-D5_1_3605_SPC	SUC_N_GFP6_S3-D6_1_3606_SPC	SUC_N_GFP7_S3-D7_1_3607_SPC	SUC_N_GFP8_S3-D8_1_3608_SPC
O60282	KIF5C	957	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	1	1	0	0	1	0	1	1	0	1	0	4	3	2	1	0	0	0	0	1	1	1	0	0	1	1	3	0	0	0	0	0	0	2	1	2	1	2	0	3	0
O60287	URB1	2271	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	3	3	1	4	1	0	0	0	0	0	0	0	0	4	1	3	0	0	1	2	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	3	1	5	3	0	1	4
O60291	MGRN1	552	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60292	SIPA1L3	1781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60293	ZFC3H1	1989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	3	0	1	1	0	0	0	1	0	1	0	1	0	1	2	0	1	0	0	1	1	0	1	1	1	1	0	1	2	0	0	0	0	0	0	0	0	3	2	2	3	4	2	1
O60294	LCMT2	686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60306	AQR	1485	0	0	0	0	1	0	2	3	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	1	4	1	0	3	6	2	5	8	3	2	4	4	1	1	3	5	1	3	4	2	0	1	0	1	1	3	1	0	0	0	0	0	0	4	2	0	1	0	1	1	4
O60313	OPA1	960	0	0	2	0	0	0	0	0	0	1	0	1	2	1	1	8	1	0	0	12	12	12	0	0	0	0	0	0	0	0	0	6	8	6	8	5	7	3	4	0	0	0	2	0	0	0	0	8	10	7	8	8	7	5	7	10	7	8	8	8	5	8	4	0	0	0	0	0	0	5	5	3	7	9	5	4	6
O60318	MCM3AP	1980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
O60341	KDM1A	852	8	7	9	6	6	7	4	3	7	8	6	3	7	1	0	4	0	0	0	10	13	13	3	1	1	1	1	0	0	0	0	35	25	24	32	28	37	28	24	28	32	28	32	26	27	34	24	13	18	8	16	19	18	16	14	17	24	25	23	21	23	20	16	0	3	2	0	1	0	28	19	21	31	26	30	31	25
O60343	TBC1D4	1298	6	10	10	0	0	0	1	0	0	2	3	2	10	7	3	0	0	0	0	4	5	2	1	0	10	6	2	1	0	2	1	25	26	29	27	29	21	27	30	12	17	14	19	18	29	20	19	0	3	6	1	0	2	0	1	16	16	11	14	8	7	11	6	0	0	0	0	3	0	17	19	21	19	20	25	22	15
O60346	PHLPP1	1717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60427	FADS1	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60462	NRP2	931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60476	MAN1A2	641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	4	2	3	2	1	2	1	2	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
O60488	ACSL4	711	1	1	0	0	0	0	1	0	0	0	0	1	0	2	1	24	21	0	0	11	13	8	3	2	0	0	0	0	0	0	0	5	5	5	6	3	4	3	4	1	0	2	1	0	0	2	0	19	20	15	14	20	16	18	17	1	3	3	2	3	1	3	7	0	0	0	0	0	0	8	8	7	9	4	5	7	7
O60493	SNX3	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60502	OGA	916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	13	10	8	10	12	11	1	4	4	4	3	3	2	3	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	2	0	0	0	0	0	0	3	3	0	3	2	3	1	1
O60506	SYNCRIP	623	47	33	30	32	36	35	46	61	46	31	37	32	55	54	39	9	6	19	21	22	21	12	3	4	10	12	39	22	12	14	14	47	43	47	41	40	40	42	55	40	34	33	37	35	45	31	36	25	23	24	18	20	15	18	21	27	31	33	23	24	23	21	22	9	16	5	7	16	17	41	42	46	45	50	46	43	49
O60508	CDC40	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60518	RANBP6	1105	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
O60524	NEMF	1076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
O60547	GMDS	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	0	0	0	0	1
O60551	NMT2	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	1	2	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60563	CCNT1	726	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	2	1	4	1	1	3	2	2	5	3	4	1	3	1	3	0	4	3	0	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	2	1	2	2
O60566	BUB1B	1050	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0
O60568	PLOD3	738	1	2	4	0	0	0	0	1	1	0	2	2	5	5	1	0	0	0	0	3	3	4	0	0	0	0	3	1	0	1	0	0	4	2	4	3	3	1	0	0	3	2	1	1	0	0	1	2	0	1	1	0	0	0	2	1	4	4	7	2	0	3	1	0	1	0	1	0	1	4	9	5	7	4	9	3	5
O60573	EIF4E2	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	4	0	0	0	2	0	0	0	0	0	4	4	4	6	5	6	6	4	0	2	0	0	0	1	0	0	5	4	5	3	4	4	4	5	2	3	1	1	2	1	0	0	0	1	0	0	4	1	5	11	7	7	6	6	9	8
O60610	DIAPH1	1272	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	3	3	3	0	0	0	2	0	0	0	0	0	9	8	9	16	13	10	10	9	5	6	5	7	7	7	9	9	1	1	1	1	1	1	4	1	10	3	5	1	4	7	4	7	0	0	0	0	0	0	6	2	4	3	3	3	5	2
O60613	SELENOF	165	6	3	4	1	2	3	1	5	6	3	3	3	6	3	2	0	0	0	0	3	2	2	1	2	0	2	5	2	0	1	3	3	2	4	3	4	1	3	2	5	5	2	3	3	3	3	4	3	3	3	2	2	3	3	4	0	2	1	2	4	3	1	1	0	2	0	0	0	3	3	5	3	3	4	3	3	5
O60645	EXOC3	745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60664	PLIN3	434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	1	1	2	3	4	4	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1
O60678	PRMT3	531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
O60684	KPNA6	536	2	1	3	4	5	7	3	3	7	5	4	4	1	3	4	1	0	0	1	5	5	5	0	0	3	3	0	0	0	4	0	2	3	3	4	3	4	2	3	2	1	2	3	2	3	2	2	5	4	3	3	3	3	4	7	2	6	6	2	2	2	5	2	2	4	1	0	6	3	4	3	2	3	1	4	5	3
O60701	UGDH	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
O60711	LPXN	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60716	CTNND1	968	10	9	10	11	4	7	7	14	9	11	12	10	6	10	6	2	0	0	0	13	12	17	1	1	0	3	0	0	0	1	0	11	7	9	7	10	10	10	13	3	6	3	7	4	2	3	3	12	14	22	8	9	13	12	15	10	10	5	10	12	12	9	13	2	1	1	2	3	3	15	15	14	14	13	13	18	12
O60725	ICMT	284	3	1	4	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
O60732	MAGEC1	1142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60739	EIF1B	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60749	SNX2	519	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	5	6	4	5	7	4	6	6	2	1	6	4	3	2	2	1	7	7	5	10	7	6	7	7	10	16	7	16	14	15	15	8	0	0	0	0	0	0	2	4	1	4	3	4	2	4
O60762	DPM1	260	8	6	7	7	5	9	4	4	4	3	5	2	9	12	10	11	7	4	8	11	13	12	10	9	3	7	7	0	0	3	1	5	6	10	6	5	6	6	5	2	5	6	4	3	3	3	2	11	17	15	18	21	14	17	15	6	6	4	5	6	6	8	9	5	5	5	2	3	5	6	6	5	12	5	7	6	8
O60763	USO1	962	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	16	7	14	0	0	1	0	0	0	0	0	0	8	7	8	7	6	7	5	7	0	1	0	0	0	1	0	0	18	18	20	12	13	16	9	16	11	9	16	15	10	12	12	7	0	0	0	0	1	2	10	12	10	7	9	6	9	8
O60765	ZNF354A	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60783	MRPS14	128	3	3	1	2	0	3	2	2	1	2	1	2	2	1	2	0	0	0	0	1	1	1	1	1	1	1	2	1	0	1	0	3	1	1	1	1	2	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	0	3	0	0	1	1	2	2	1	2	2	1	2	2
O60784	TOM1	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	24	20	2	2	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	1	0	0	1	0	1	1	0	0	0	0	1	3	1	0	2	0	1	2	1	2	3	2	1	0	0	0	0	0	0	1	3	2	2	3	2	1	4
O60814	H2BC12	126	1	2	2	0	1	0	1	1	1	4	2	0	2	2	2	2	1	2	2	1	1	1	0	0	1	0	0	0	0	0	0	2	2	0	1	2	0	1	1	0	0	0	0	0	0	2	1	0	0	1	1	0	1	1	0	2	1	1	1	2	5	1	0	0	7	0	0	2	0	0	0	2	0	0	3	1	0
O60825	PFKFB2	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60826	CCDC22	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	5	3	4	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
O60830	TIMM17B	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	6	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	2	2	0	1	0	2	1	2	1	1	3	5	4	3	5	6	8	6	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	3	1	1	2	3
O60831	PRAF2	178	1	2	1	1	0	0	1	2	1	2	1	4	3	2	1	1	1	1	1	11	9	9	2	1	3	2	1	0	1	0	0	3	1	1	2	2	2	1	1	1	1	1	1	2	2	1	1	3	6	4	4	5	5	3	4	1	2	2	2	0	1	0	1	0	0	0	0	2	1	1	1	1	2	1	2	1	2
O60832	DKC1	514	1	1	0	0	0	0	0	1	2	0	0	0	5	4	1	0	0	4	1	10	5	10	0	0	2	1	0	0	0	6	5	3	3	3	2	3	3	5	3	0	0	0	0	2	0	0	0	4	3	4	3	8	3	7	5	0	3	0	1	0	5	1	1	2	12	2	13	6	15	4	5	5	6	5	5	5	5
O60841	EIF5B	1220	2	0	4	0	0	1	1	0	1	0	1	1	4	8	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	3	3	3	3	4	4	3	2	0	1	0	1	1	0	0	0	2	2	1	2	2	2	3	3	0	0	2	1	1	1	1	0	0	0	0	0	0	0	4	4	6	5	5	5	7	5
O60869	EDF1	148	1	2	2	1	1	2	1	2	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
O60870	KIN	393	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60879	DIAPH2	1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
O60884	DNAJA2	412	24	17	22	6	5	6	8	9	4	12	12	10	19	16	7	17	7	4	6	13	12	15	9	9	9	6	5	2	2	6	3	10	10	8	6	6	5	6	9	2	3	2	3	3	3	2	2	17	9	11	11	10	13	19	16	4	3	4	6	7	7	8	6	5	3	6	4	13	8	10	7	11	7	8	9	6	5
O60885	BRD4	1362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	2	4	2	4	3	2	2	2	0	0	1	0	0	0	0	2	0	1	2	0	0	0	0	1	0	1	1	0	0	0
O60888	CUTA	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60906	SMPD2	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60907	TBL1X	577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	2	1	1	0	3	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0
O60921	HUS1	280	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
O60925	PFDN1	122	1	2	1	1	0	0	1	1	1	2	1	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	2	2	2	3	1	1	2	2	1	1	2	1	1	1	1	1	2	2	0	0	0	0	0	2	3	1	1	1	1	0	1	0	0	0	0	0	0	2	2	0	3	3	2	0	2
O60934	NBN	754	3	3	2	2	1	3	3	3	3	3	2	1	6	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	6	3	6	6	5	5	7	5	13	14	16	12	18	15	13	14	0	0	0	3	0	3	1	1	1	3	0	1	0	0	2	1	0	1	0	0	0	0	4	2	3	6	6	5	2	8
O60942	RNGTT	597	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75027	ABCB7	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	9	9	5	0	0	0	0	0	0	0	0	0	4	3	0	3	1	2	5	2	0	0	0	0	0	0	0	0	7	5	5	6	7	5	4	6	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1	1	3	1	1	0	1	2
O75044	SRGAP2	1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75051	PLXNA2	1894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75054	IGSF3	1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75061	DNAJC6	913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1
O75063	FAM20B	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
