PROTID	GENEID	PROTLEN	9_1_Bio_S1-E9_1_2770_SPC	9_2_Bio_S1-E10_1_2771_SPC	9_3_Bio_S1-E11_1_2772_SPC	BID_GFP_C_1_S1-B10_1_5630_SPC	BID_GFP_C_1_S1-B6_1_5626_SPC	BID_GFP_C_1_S1-B6_1_6587_SPC	BID_GFP_C_2_S1-B11_1_5631_SPC	BID_GFP_C_2_S1-B7_1_5627_SPC	BID_GFP_C_2_S1-B7_1_6588_SPC	BID_GFP_C_3_S1-B8_1_5628_SPC	BID_GFP_C_3_S1-B8_1_6589_SPC	BID_GFP_MED_NLS_1_S1-C6_1_6599_SPC	BID_GFP_MED_NLS_2_S1-C7_1_6600_SPC	BID_GFP_MED_NLS_3_S1-C8_1_6601_SPC	BID_GFP_MYC_NLS_1_S1-C10_1_6603_SPC	BID_GFP_MYC_NLS_2_S1-C11_1_6604_SPC	BID_GFP_MYC_NLS_3_S1-C12_1_6605_SPC	BID_GFP_NLS1_1_S1-B2_1_5622_SPC	BID_GFP_NLS1_1_S1-C2_1_6595_SPC	BID_GFP_NLS1_2_S1-B3_1_5623_SPC	BID_GFP_NLS1_2_S1-C3_1_6596_SPC	BID_GFP_NLS1_3_S1-B4_1_5624_SPC	BID_GFP_NLS1_3_S1-C4_1_6597_SPC	BID_GFP_N_1_S1-B10_1_6591_SPC	BID_GFP_N_2_S1-B11_1_6592_SPC	BID_GFP_N_3_S1-B12_1_6593_SPC	BID_gfp-nls_1_S2-B6_1_4628_SPC	BID_gfp-nls_2_S2-B7_1_4629_SPC	BID_gfp-nls_3_S2-B8_1_4630_SPC	Bio_GFP_1_S2-A1_1_3928_SPC	Bio_GFP_2_S2-A2_1_3929_SPC	Bio_GFP_3_S2-A3_1_3930_SPC	Bio_GFP_4_S2-A4_1_3931_SPC	GFP1_Bio_S1-C3_1_2608_SPC	GFP1_Bio_S1-C4_1_2609_SPC	GFP1_Bio_S1-C5_1_2610_SPC	GFP1_Bio_S1-C6_1_2611_SPC	GFP_BIO1_S3-D5_1_1185_SPC	GFP_BIO2_S3-D6_1_1186_SPC	GFP_BIOID_Slot1-23_1_251_SPC	GFP_BIOID_Slot1-24_1_254_SPC	GFP_BIO_1_S1-C12_1_4066_SPC	GFP_C_1_Bio_S1-B8_1_6794_SPC	GFP_C_2_Bio_S1-B9_1_6795_SPC	GFP_C_BIO_1_S2-C6_1_4541_SPC	GFP_C_BIO_2_S2-C7_1_4542_SPC	GFP_C_BIO_3_S2-C8_1_4543_SPC	GFP_N_1_Bio_S1-B11_1_6797_SPC	GFP_N_2_Bio_S1-B12_1_6798_SPC	GFP_S1-H2_1_6362_SPC	GFP_S1-H3_1_6363_SPC	MAC2_C_GFP_BIO10_S1-B5_1_4434_SPC	MAC2_C_GFP_BIO1_S3-E1_1_3610_SPC	MAC2_C_GFP_BIO2_S3-E2_1_3611_SPC	MAC2_C_GFP_BIO3_S3-E3_1_3612_SPC	MAC2_C_GFP_BIO4_S3-E4_1_3613_SPC	MAC2_C_GFP_BIO5_S3-E5_1_3614_SPC	MAC2_C_GFP_BIO6_S3-E6_1_3615_SPC	MAC2_C_GFP_BIO7_S3-E7_1_3616_SPC	MAC2_C_GFP_BIO8_S3-E8_1_3617_SPC	MAC2_C_GFP_BIO9_S1-B4_1_4433_SPC	MAC2_N_GFP_BIO10_S1-B8_1_4437_SPC	MAC2_N_GFP_BIO1_S3-F1_1_3619_SPC	MAC2_N_GFP_BIO2_S3-F2_1_3620_SPC	MAC2_N_GFP_BIO3_S3-F3_1_3621_SPC	MAC2_N_GFP_BIO4_S3-F4_1_3622_SPC	MAC2_N_GFP_BIO5_S3-F5_1_3623_SPC	MAC2_N_GFP_BIO6_S3-F6_1_3624_SPC	MAC2_N_GFP_BIO7_S3-F7_1_3625_SPC	MAC2_N_GFP_BIO8_S3-F8_1_3626_SPC	MAC2_N_GFP_BIO9_S1-B7_1_4436_SPC	MAC_N_GFP_BIO4_S3-D4_1_3676_SPC	MAC_N_GFP_BIO5_S3-D5_1_3677_SPC	MED_1_Bio_S1-C2_1_6800_SPC	MED_2_Bio_S1-C3_1_6801_SPC	MYC_1_Bio_S1-C5_1_6803_SPC	MYC_2_Bio_S1-C6_1_6804_SPC	NLS1_1_Bio_S1-B5_1_6791_SPC	NLS1_2_Bio_S1-B6_1_6792_SPC	SUC_N_GFP_BIO10_S1-C2_1_4443_SPC	SUC_N_GFP_BIO1_S3-H1_1_3637_SPC	SUC_N_GFP_BIO2_S3-H2_1_3638_SPC	SUC_N_GFP_BIO3_S3-H3_1_3639_SPC	SUC_N_GFP_BIO4_S3-H4_1_3640_SPC	SUC_N_GFP_BIO5_S3-H5_1_3641_SPC	SUC_N_GFP_BIO6_S3-H6_1_3642_SPC	SUC_N_GFP_BIO7_S3-H7_1_3643_SPC	SUC_N_GFP_BIO8_S3-H8_1_3644_SPC	SUC_N_GFP_BIO9_S1-C1_1_4442_SPC
P49327	FASN	2511	158	158	155	649	378	431	616	402	432	413	409	170	173	171	188	209	203	219	413	226	413	187	434	323	320	324	104	122	106	419	382	457	441	434	425	415	414	614	605	476	488	395	498	517	199	280	198	339	353	459	460	178	160	159	154	141	144	134	149	134	185	71	130	124	130	137	135	127	113	137	41	315	288	189	194	235	240	448	488	88	212	205	204	206	193	201	171	204	88
P49336	CDK8	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P49354	FNTA	379	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
P49356	FNTB	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P49366	DHPS	369	0	0	0	14	0	15	9	1	11	2	10	9	12	11	12	11	6	0	10	0	10	0	13	9	9	7	0	0	0	15	16	8	8	7	8	8	7	13	10	10	10	2	8	10	4	9	4	3	5	4	4	2	1	1	2	0	0	0	3	1	1	0	0	2	1	1	2	2	3	3	0	12	8	4	7	8	11	9	5	0	0	0	0	0	0	0	0	0	0
P49368	CCT3	545	61	57	63	353	420	454	343	353	488	365	417	254	243	259	318	325	299	146	450	153	446	140	367	190	192	176	101	137	112	187	224	239	208	401	357	362	368	424	385	520	470	274	323	272	141	118	98	162	136	237	233	99	70	72	74	65	70	68	71	63	99	90	86	82	90	85	93	91	92	90	64	108	102	278	238	294	231	279	276	75	70	68	66	58	69	67	65	65	64
P49406	MRPL19	292	3	2	1	1	0	0	0	1	1	0	2	5	1	7	3	2	3	3	2	1	1	1	3	4	4	3	1	1	0	0	0	1	1	0	1	0	0	0	0	5	1	0	2	3	4	1	1	1	2	0	0	2	1	1	1	0	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	2	4	2	2	1	3	3	0	0	1	2	1	1	2	1	0	0
P49411	TUFM	452	42	51	48	20	18	13	20	21	14	29	15	11	11	16	12	11	12	36	10	25	10	32	15	19	13	19	20	26	22	14	16	23	25	24	27	28	21	15	13	60	51	15	12	14	13	15	11	17	21	13	14	34	28	27	19	22	19	15	24	23	35	18	33	28	27	26	29	35	27	33	12	23	27	12	12	12	13	15	13	14	35	39	38	36	36	33	35	43	18
P49419	ALDH7A1	539	0	0	0	7	0	4	3	0	2	0	3	2	1	0	4	2	3	0	2	0	5	0	2	4	4	3	0	0	0	2	6	2	1	0	0	0	0	4	4	2	2	0	3	6	1	1	0	1	2	1	1	4	2	2	2	1	1	2	1	4	2	0	1	2	3	1	2	2	1	0	0	4	6	0	1	3	3	1	6	0	3	4	5	8	4	5	4	5	0
P49454	CENPF	3114	38	55	39	0	2	0	0	4	0	1	1	5	10	5	7	9	6	1	2	3	0	0	0	5	5	6	4	2	1	2	3	21	19	11	5	10	14	34	33	56	45	0	3	1	0	0	0	13	5	7	7	2	6	5	3	2	4	3	4	3	2	1	14	17	23	13	28	21	18	15	0	26	17	13	13	20	20	3	6	4	39	42	36	43	38	41	36	34	1
P49458	SRP9	86	2	2	2	0	1	1	0	2	3	1	1	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	1	2	1	2	1	2	2	4	4	10	4	1	1	1	1	1	1	0	2	2	2	1	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	6	3	2	3	2	3	3	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	3	1	2	2
P49459	UBE2A	152	0	0	0	0	0	3	0	0	2	0	1	2	1	3	3	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	4	4	2	0	0	0	0	0	0	1	0	1	2	0	0
P49585	PCYT1A	367	0	0	0	1	1	3	1	0	1	0	2	7	8	9	14	10	11	1	1	0	2	0	1	3	4	1	0	0	0	3	7	0	1	0	0	0	0	0	0	18	11	1	2	3	1	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	3	12	10	1	2	0	0	0	0	0	0	0	0	0	0
P49588	AARS1	968	17	20	18	2	2	4	3	2	6	1	6	1	0	1	0	1	2	0	6	0	6	0	6	1	2	3	0	0	0	6	12	3	8	1	3	4	2	3	7	3	2	2	4	6	1	1	0	4	8	4	5	5	13	4	3	8	3	4	5	7	6	0	3	4	5	3	6	9	6	9	2	19	13	0	0	0	1	5	8	0	7	9	9	11	9	8	6	9	0
P49589	CARS1	748	1	2	1	5	1	2	3	4	5	3	1	1	2	1	1	0	0	0	3	0	1	0	1	3	3	3	0	0	0	6	4	6	5	6	8	3	5	8	6	1	0	5	6	5	0	0	0	7	4	2	1	17	3	13	9	6	4	8	11	6	14	0	3	7	3	2	6	5	5	4	0	8	9	1	0	1	2	6	6	0	7	11	10	13	12	14	11	10	0
P49590	HARS2	506	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P49591	SARS1	514	20	21	31	3	11	3	4	10	2	7	4	0	0	0	2	1	1	0	3	0	4	0	3	3	5	4	0	0	0	11	9	13	12	8	9	3	3	1	1	9	6	3	10	8	1	4	0	2	5	7	5	12	9	10	9	9	8	10	5	10	16	6	9	12	9	14	10	10	13	16	4	11	9	0	2	3	2	6	7	14	38	39	34	35	35	42	35	36	19
P49593	PPM1F	454	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P49642	PRIM1	420	3	3	1	10	10	4	13	7	3	11	4	0	0	1	6	5	3	7	6	2	5	1	5	9	8	10	0	2	3	0	0	0	0	9	10	9	13	7	13	34	27	5	8	6	0	0	0	3	3	7	6	10	4	2	6	9	8	7	6	5	4	4	5	7	6	8	5	7	7	11	1	5	8	8	8	6	6	8	4	0	5	4	8	6	5	8	5	5	0
P49643	PRIM2	509	5	4	9	12	11	10	11	11	10	11	7	8	8	7	9	9	10	7	8	5	13	5	10	8	10	9	3	7	2	3	4	2	4	8	8	9	10	10	11	25	29	10	7	8	0	0	0	8	8	10	7	12	10	8	12	11	10	12	10	12	19	4	8	7	6	8	5	5	9	5	3	5	7	17	19	16	13	9	7	0	6	8	7	3	3	3	4	7	0
P49674	CSNK1E	416	1	0	0	0	0	1	0	0	1	0	1	3	3	5	2	3	5	0	0	0	4	0	3	7	10	7	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	2	1	3	1	2	4	1	3	5	3	5	4	4	6	4	5	5	0	0	2	0	1	0	0	0	0	0	2	3	6	5	2	6	5	3	1
P49711	CTCF	727	0	1	1	0	4	1	1	3	2	5	0	3	4	8	7	3	2	5	0	5	1	4	2	2	4	4	3	4	4	0	0	2	2	1	2	0	0	1	2	37	39	0	4	3	0	0	0	11	6	1	2	2	4	4	1	0	1	1	0	0	2	0	2	2	7	4	3	5	4	3	0	1	3	9	14	11	16	2	5	0	0	3	2	0	1	1	0	2	0
P49720	PSMB3	205	5	5	1	1	3	8	1	5	6	4	8	9	5	10	9	9	9	5	7	5	7	3	5	14	14	12	0	1	0	10	11	6	3	5	7	7	7	0	0	0	2	14	5	2	0	5	0	10	8	0	0	3	3	3	4	1	1	3	1	1	3	0	4	1	2	4	4	2	4	5	0	2	2	5	9	8	7	4	4	0	3	6	4	8	6	6	6	5	0
P49721	PSMB2	201	4	3	2	5	4	9	3	6	7	5	8	5	6	6	5	6	6	4	8	5	9	3	10	9	11	7	1	3	1	3	2	5	5	6	4	3	6	1	0	5	3	8	8	5	3	2	3	3	4	3	3	6	4	3	5	2	2	3	3	3	4	0	0	2	0	2	1	0	0	0	0	1	1	5	5	5	3	6	8	0	1	2	1	4	2	1	1	2	0
P49736	MCM2	904	19	15	16	7	10	16	8	8	7	9	8	16	11	18	12	14	16	21	13	22	19	12	16	7	17	9	10	16	7	2	3	1	4	4	3	4	7	11	9	38	35	8	4	2	0	2	0	1	1	5	3	23	22	15	15	19	20	18	16	20	36	2	13	15	22	22	13	22	21	20	4	10	11	10	9	6	8	5	3	3	24	31	25	23	28	24	29	31	0
P49748	ACADVL	655	11	12	9	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	3	3	7	0	0	0	0	0	0	0	1	0	1	1	4	3	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	6	8	0	0	0	0	0	0	0	0	1	3	4	3	2	1	3	0
P49750	YLPM1	2146	17	16	14	27	26	46	41	23	34	19	54	97	97	95	93	95	101	70	46	55	43	49	42	45	46	48	33	40	45	17	20	37	39	35	33	30	31	56	50	187	182	6	51	30	38	53	46	43	48	28	17	19	18	22	17	11	22	22	22	17	27	17	34	37	43	38	42	42	41	43	13	48	42	95	88	99	95	52	38	5	9	12	12	12	10	16	11	15	6
P49753	ACOT2	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P49754	VPS41	854	0	0	0	2	0	1	1	0	3	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	1	0	1	2	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
P49755	TMED10	219	4	4	5	0	2	0	0	0	1	1	5	0	1	5	1	2	0	0	4	0	2	0	1	7	8	8	1	6	0	3	2	3	1	4	1	5	4	8	5	0	0	1	0	0	0	0	0	0	0	1	1	7	5	6	5	3	4	6	3	5	6	3	4	5	3	3	4	4	3	3	5	5	5	0	0	0	0	0	0	1	11	10	7	5	9	8	8	8	3
P49756	RBM25	843	16	26	20	21	13	32	24	12	27	16	35	51	64	53	56	57	58	32	33	35	42	26	29	41	40	35	17	35	20	10	12	22	19	14	13	15	11	32	32	83	73	3	22	21	12	12	8	22	28	13	10	39	37	31	31	31	32	34	40	30	39	19	36	34	50	52	44	37	41	45	24	26	26	54	42	54	52	26	26	4	25	24	30	30	31	35	28	26	6
P49757	NUMB	651	0	0	0	3	5	4	6	3	6	2	3	0	0	0	0	0	0	0	6	0	8	0	4	2	4	4	0	0	0	1	1	2	1	3	6	5	3	1	4	0	0	0	6	3	0	0	1	4	4	2	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	5	2	4	1	0	5	6	0	0	1	1	5	4	0	4	1	5	3	3	2	3	3	0
P49760	CLK2	499	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P49761	CLK3	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P49768	PSEN1	467	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P49770	EIF2B2	351	0	0	0	0	2	0	1	2	2	1	0	2	1	4	4	2	0	0	0	1	1	0	0	2	3	2	0	0	0	3	3	1	1	2	3	5	4	0	1	5	4	0	4	3	0	0	0	3	4	3	2	1	1	2	1	1	2	0	0	1	1	0	2	2	2	1	1	1	3	2	0	2	2	3	2	3	4	4	3	0	2	1	1	1	2	2	2	1	0
P49773	HINT1	126	0	0	0	17	6	11	14	9	9	10	8	8	4	7	6	7	9	2	11	0	12	0	17	3	6	3	0	0	0	14	11	14	12	9	13	12	14	11	10	20	14	14	14	15	6	8	7	7	6	4	7	5	5	7	3	5	4	3	4	3	5	0	2	1	1	1	1	2	0	0	0	7	8	5	9	6	11	14	12	0	1	1	1	1	2	1	2	1	0
P49790	NUP153	1475	22	30	33	53	51	44	57	47	38	54	46	103	117	119	87	93	96	87	42	68	48	59	38	62	53	68	44	47	39	16	14	76	88	58	61	55	56	38	31	189	184	18	65	61	56	56	58	80	77	31	26	50	29	30	35	32	31	35	39	31	42	16	50	41	57	50	47	47	47	53	12	29	23	141	141	123	133	77	75	6	25	29	31	24	28	31	31	45	4
P49792	RANBP2	3224	99	111	107	218	253	187	212	260	180	278	216	100	117	126	127	120	111	112	213	120	195	113	195	245	256	251	85	86	80	108	94	295	287	226	226	209	230	162	144	285	266	80	201	211	185	213	177	277	288	134	139	177	131	135	148	130	126	121	134	116	172	157	211	214	221	228	229	244	215	234	134	149	144	120	131	143	164	242	248	38	129	128	114	119	126	123	119	123	41
P49815	TSC2	1807	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	3	1	2	0	1	0	0	1	0	2	5	0	1	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
P49821	NDUFV1	464	1	1	1	0	0	0	0	1	0	1	3	1	2	1	3	3	4	2	2	1	3	4	1	4	2	5	0	0	0	0	1	0	1	1	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	3	2	3	2	2	1	0	1	1	2	2	2	1	2	1	0	3	3	0	0	0	1	0	0	0	3	3	2	3	4	1	1	3	0
P49840	GSK3A	483	1	0	2	0	0	1	0	0	1	0	0	3	3	1	1	0	0	0	1	0	1	0	0	1	2	3	0	0	0	2	1	0	1	5	3	2	1	0	0	2	2	0	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
P49841	GSK3B	420	0	0	0	3	2	6	2	0	3	2	4	1	2	2	2	2	2	0	3	0	3	0	5	3	1	4	0	0	0	0	0	0	0	1	1	1	1	2	1	0	0	0	3	1	0	0	0	0	1	4	3	0	1	2	2	2	3	2	3	2	0	0	1	2	2	3	4	3	1	1	0	2	2	0	0	0	1	3	3	0	1	2	3	2	2	2	5	1	0
P49848	TAF6	677	6	12	10	20	18	19	17	19	14	25	22	31	38	32	33	34	27	34	21	29	16	35	17	32	33	32	29	29	30	4	1	21	20	5	5	1	4	20	18	80	74	1	19	20	0	0	0	36	33	26	23	27	27	25	30	26	24	25	22	25	22	24	40	36	49	39	52	45	48	47	20	15	11	46	46	45	47	26	22	1	15	12	15	19	16	12	17	13	1
P49902	NT5C2	561	2	1	0	4	0	6	7	1	3	0	5	1	0	0	0	0	0	0	4	0	4	0	5	0	1	1	0	0	0	10	10	5	5	5	6	8	4	6	6	5	6	5	9	4	0	0	0	4	4	11	9	2	5	4	4	4	4	3	4	3	4	2	6	5	2	3	5	3	3	3	2	4	4	1	2	4	1	11	8	0	2	1	0	0	1	2	2	0	0
P49903	SEPHS1	392	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P49915	GMPS	693	1	1	2	8	4	9	9	4	12	6	5	17	17	18	24	20	19	0	7	0	16	0	8	7	4	1	0	1	0	16	12	8	3	8	5	8	5	5	3	23	21	8	18	15	0	0	0	3	6	2	0	6	11	5	3	1	2	2	1	1	5	0	4	3	7	0	4	1	3	1	0	7	9	24	20	28	28	11	10	0	2	3	3	2	1	0	1	2	0
P49916	LIG3	1009	0	0	0	8	2	15	10	1	12	1	15	27	23	25	27	28	30	9	14	9	16	9	19	27	22	24	9	11	15	4	3	1	1	3	5	2	4	1	3	34	26	1	9	6	0	0	0	11	9	0	0	2	1	3	3	3	2	1	3	1	3	0	1	1	1	0	1	1	1	1	0	0	0	17	16	15	20	6	9	0	0	1	0	0	0	0	0	0	0
P49917	LIG4	911	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	1	2	0	1	0	1	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
P49959	MRE11	708	27	29	25	30	31	21	26	18	18	25	22	23	23	27	26	25	25	18	25	18	27	17	24	17	23	24	8	10	13	24	27	50	50	36	28	33	40	40	34	79	79	14	33	35	34	42	38	41	41	25	26	35	26	29	30	29	22	27	25	29	31	26	29	31	37	37	36	31	31	33	18	31	31	30	29	34	33	39	33	5	24	20	24	20	24	21	21	19	5
P50148	GNAQ	359	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
P50213	IDH3A	366	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P50219	MNX1	401	0	0	0	0	0	0	0	0	0	0	0	2	3	3	4	2	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	3	1	0	3	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0
P50225	SULT1A1	295	0	0	0	1	0	3	1	0	1	0	1	0	0	0	2	1	1	0	1	0	1	0	0	0	0	0	0	0	0	2	2	0	0	4	1	5	2	0	2	3	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	1	1	0	2	0	0	1	1	2	2	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	2	0
P50281	MMP14	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P50395	GDI2	445	5	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	1	2	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	2	1	4	3	2	3	4	1	0	0	0	0	1	0	0	2	1	0	5	3	4	4	7	9	9	6	0
P50402	EMD	254	6	5	7	5	11	9	4	12	7	12	8	7	7	7	10	10	6	4	9	7	8	9	5	9	7	12	2	3	3	0	0	2	6	8	6	5	4	3	3	17	8	0	3	3	0	0	0	7	4	10	4	10	6	7	4	7	7	6	5	7	10	3	12	15	12	15	16	10	15	16	4	9	10	4	6	8	6	6	7	4	11	16	12	9	10	10	12	18	5
P50416	CPT1A	773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P50454	SERPINH1	418	28	29	33	21	23	12	22	23	15	18	16	16	16	20	10	19	15	33	14	30	17	37	17	23	24	20	21	26	17	20	16	19	28	23	25	24	20	6	8	41	41	13	28	22	13	13	13	30	30	14	13	20	20	14	16	23	21	21	20	22	19	4	8	6	9	8	4	6	6	7	5	18	19	28	26	26	28	23	23	2	16	14	15	17	18	17	18	15	7
P50479	PDLIM4	330	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0
